fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,erbi
2021-2022,2021,CTAS III - Urgent,3,Admitted,Acute Myocardial Infarction,Admitted,3592,666,11.1,1,2392272
2021-2022,2021,Less urgent,3,Admitted,Acute Myocardial Infarction,Admitted,311,582,9.7,1,181002
2021-2022,2021,Non-urgent,3,Admitted,Acute Myocardial Infarction,Admitted,39,516,8.6,1,20124
2021-2022,2021,Unknown,3,Admitted,Acute Myocardial Infarction,Admitted,68,240,4.0,1,16320
2021-2022,2021,CTAS III - Urgent,3,Admitted,Asthma,Admitted,882,660,11.0,1,582120
2021-2022,2021,Less urgent,3,Admitted,Asthma,Admitted,27,354,5.9,1,9558
2021-2022,2021,Non-urgent,3,Admitted,Asthma,Admitted,7,450,7.5,1,3150
2021-2022,2021,Unknown,3,Admitted,Asthma,Admitted,15,246,4.1,1,3690
2021-2022,2021,CTAS III - Urgent,3,Admitted,Influenzal Pneumonia,Admitted,9,768,12.8,1,6912
2021-2022,2021,Less urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,0,0.0,1,0
2021-2022,2021,Non-urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,0,0.0,1,0
2021-2022,2021,Unknown,3,Admitted,Influenzal Pneumonia,Admitted,0,132,2.2,1,0
2021-2022,2021,CTAS III - Urgent,3,Admitted,Motor Vehicle Collisions,Admitted,2394,480,8.0,1,1149120
2021-2022,2021,Less urgent,3,Admitted,Motor Vehicle Collisions,Admitted,277,420,7.0,1,116340
2021-2022,2021,Non-urgent,3,Admitted,Motor Vehicle Collisions,Admitted,47,342,5.7,1,16074
2021-2022,2021,Unknown,3,Admitted,Motor Vehicle Collisions,Admitted,46,198,3.3,1,9108
2021-2022,2021,CTAS III - Urgent,3,Admitted,Pneumonia,Admitted,9424,792,13.2,1,7463808
2021-2022,2021,Less urgent,3,Admitted,Pneumonia,Admitted,599,558,9.3,1,334242
2021-2022,2021,Non-urgent,3,Admitted,Pneumonia,Admitted,60,420,7.0,1,25200
2021-2022,2021,Unknown,3,Admitted,Pneumonia,Admitted,120,210,3.5,1,25200
2021-2022,2021,CTAS III - Urgent,3,Admitted,Trauma,Admitted,48227,618,10.3,1,29804286
2021-2022,2021,Less urgent,3,Admitted,Trauma,Admitted,5615,462,7.7,1,2594130
2021-2022,2021,Non-urgent,3,Admitted,Trauma,Admitted,822,378,6.3,1,310716
2021-2022,2021,Unknown,3,Admitted,Trauma,Admitted,321,270,4.5,1,86670
2021-2022,2021,CTAS III - Urgent,3,Admitted,Unintentional Falls,Admitted,37604,642,10.7,1,24141768
2021-2022,2021,Less urgent,3,Admitted,Unintentional Falls,Admitted,3820,480,8.0,1,1833600
2021-2022,2021,Non-urgent,3,Admitted,Unintentional Falls,Admitted,503,396,6.6,1,199188
2021-2022,2021,Unknown,3,Admitted,Unintentional Falls,Admitted,190,306,5.1,1,58140
2021-2022,2021,CTAS III - Urgent,3,Death,Acute Myocardial Infarction,Not Admitted,30,276,4.6,0,8280
2021-2022,2021,Less urgent,3,Death,Acute Myocardial Infarction,Not Admitted,0,168,2.8,0,0
2021-2022,2021,Non-urgent,3,Death,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0,0
