fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Any,Not Admitted,518722,236,3.93,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,10792,185,3.08,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,476,196,3.27,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,14776,185,3.08,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,7904,234,3.9,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,80929,170,2.83,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,23675,200,3.33,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,22,70,1.17,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Any,Not Admitted,3530,206,3.43,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,49,152,2.53,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,52,168,2.8,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,15,189,3.15,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,691,170,2.83,0
2009-2010,2009,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,153,179,2.98,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,39,242,4.03,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Any,Not Admitted,20185,171,2.85,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,113,160,2.67,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,289,4.82,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,221,146,2.43,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Pneumonia,Not Admitted,45,317,5.28,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Trauma,Not Admitted,1697,139,2.32,0
2009-2010,2009,CTAS II - Emergent,2,Not Seen Or Left,Unintentional Falls,Not Admitted,396,148,2.47,0
2009-2010,2009,CTAS II - Emergent,2,Total,Acute Myocardial Infarction,Not Admitted,9927,351,5.85,0
2009-2010,2009,CTAS II - Emergent,2,Total,Any,Not Admitted,776060,290,4.83,0
2009-2010,2009,CTAS II - Emergent,2,Total,Asthma,Not Admitted,14114,219,3.65,0
2009-2010,2009,CTAS II - Emergent,2,Total,Influenzal Pneumonia,Not Admitted,725,256,4.27,0
2009-2010,2009,CTAS II - Emergent,2,Total,Motor Vehicle Collisions,Not Admitted,18608,201,3.35,0
2009-2010,2009,CTAS II - Emergent,2,Total,Pneumonia,Not Admitted,18992,387,6.45,0
2009-2010,2009,CTAS II - Emergent,2,Total,Trauma,Not Admitted,100916,190,3.17,0
2009-2010,2009,CTAS II - Emergent,2,Total,Unintentional Falls,Not Admitted,33060,239,3.98,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Acute Myocardial Infarction,Not Admitted,2110,134,2.23,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Any,Not Admitted,22332,244,4.07,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Asthma,Not Admitted,249,252,4.2,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Influenzal Pneumonia,Not Admitted,26,280,4.67,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Motor Vehicle Collisions,Not Admitted,990,216,3.6,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Pneumonia,Not Admitted,578,238,3.97,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Trauma,Not Admitted,3778,202,3.37,0
2009-2010,2009,CTAS II - Emergent,2,Transferred,Unintentional Falls,Not Admitted,1321,230,3.83,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Any,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Asthma,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Trauma,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS III - Urgent,3,Admitted,Acute Myocardial Infarction,Admitted,3321,567,9.45,1
2009-2010,2009,Less urgent,3,Admitted,Acute Myocardial Infarction,Admitted,297,467,7.78,1
2009-2010,2009,Non-urgent,3,Admitted,Acute Myocardial Infarction,Admitted,9,227,3.78,1
2009-2010,2009,Unknown,3,Admitted,Acute Myocardial Infarction,Admitted,46,228,3.8,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Any,Admitted,264395,614,10.23,1
2009-2010,2009,Less urgent,3,Admitted,Any,Admitted,41816,448,7.47,1
2009-2010,2009,Non-urgent,3,Admitted,Any,Admitted,4209,313,5.22,1
2009-2010,2009,Unknown,3,Admitted,Any,Admitted,2231,258,4.3,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Asthma,Admitted,1595,553,9.22,1
2009-2010,2009,Less urgent,3,Admitted,Asthma,Admitted,109,378,6.3,1
2009-2010,2009,Non-urgent,3,Admitted,Asthma,Admitted,9,270,4.5,1
2009-2010,2009,Unknown,3,Admitted,Asthma,Admitted,15,126,2.1,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Influenzal Pneumonia,Admitted,309,591,9.85,1
2009-2010,2009,Less urgent,3,Admitted,Influenzal Pneumonia,Admitted,38,446,7.43,1
2009-2010,2009,Non-urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,1397,23.28,1
2009-2010,2009,Unknown,3,Admitted,Influenzal Pneumonia,Admitted,0,308,5.13,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Motor Vehicle Collisions,Admitted,1783,417,6.95,1
2009-2010,2009,Less urgent,3,Admitted,Motor Vehicle Collisions,Admitted,332,344,5.73,1
2009-2010,2009,Non-urgent,3,Admitted,Motor Vehicle Collisions,Admitted,26,198,3.3,1
2009-2010,2009,Unknown,3,Admitted,Motor Vehicle Collisions,Admitted,26,325,5.42,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Pneumonia,Admitted,11419,718,11.97,1
2009-2010,2009,Less urgent,3,Admitted,Pneumonia,Admitted,1285,435,7.25,1
2009-2010,2009,Non-urgent,3,Admitted,Pneumonia,Admitted,70,288,4.8,1
2009-2010,2009,Unknown,3,Admitted,Pneumonia,Admitted,70,352,5.87,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Trauma,Admitted,25400,507,8.45,1
2009-2010,2009,Less urgent,3,Admitted,Trauma,Admitted,5418,433,7.22,1
2009-2010,2009,Non-urgent,3,Admitted,Trauma,Admitted,363,267,4.45,1
2009-2010,2009,Unknown,3,Admitted,Trauma,Admitted,209,337,5.62,1
2009-2010,2009,CTAS III - Urgent,3,Admitted,Unintentional Falls,Admitted,18579,535,8.92,1
2009-2010,2009,Less urgent,3,Admitted,Unintentional Falls,Admitted,3554,471,7.85,1
