fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Any,Not Admitted,8434,225,3.75,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Any,Not Admitted,4065,160,2.67,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Any,Not Admitted,1227,85,1.42,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Any,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,24,144,2.4,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,60,1.0,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,322,5.37,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,131,151,2.52,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,81,140,2.33,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,21,62,1.03,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,22,203,3.38,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,17,249,4.15,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1777,188,3.13,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1309,141,2.35,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,318,81,1.35,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Trauma,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,593,195,3.25,0
2007-2008,2007,Less urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,430,141,2.35,0
2007-2008,2007,Non-urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,87,84,1.4,0
2007-2008,2007,Unknown,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,17,299,4.98,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,215,3.58,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,497,8.28,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Any,Not Admitted,99689,148,2.47,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Any,Not Admitted,106015,124,2.07,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Any,Not Admitted,27429,90,1.5,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Any,Not Admitted,3870,19,0.32,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Asthma,Not Admitted,380,130,2.17,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Asthma,Not Admitted,127,106,1.77,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Asthma,Not Admitted,15,99,1.65,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Asthma,Not Admitted,8,136,2.27,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,284,4.73,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1083,139,2.32,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1564,130,2.17,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,138,120,2.0,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,8,10,0.17,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,81,183,3.05,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,36,184,3.07,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,5,189,3.15,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Trauma,Not Admitted,10331,128,2.13,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Trauma,Not Admitted,24592,120,2.0,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Trauma,Not Admitted,3876,99,1.65,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Trauma,Not Admitted,558,6,0.1,0
2007-2008,2007,CTAS III - Urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,2720,135,2.25,0
2007-2008,2007,Less urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,5273,122,2.03,0
2007-2008,2007,Non-urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,637,110,1.83,0
2007-2008,2007,Unknown,3,Not Seen Or Left,Unintentional Falls,Not Admitted,50,17,0.28,0
2007-2008,2007,CTAS III - Urgent,3,Total,Acute Myocardial Infarction,Not Admitted,3808,417,6.95,0
2007-2008,2007,Less urgent,3,Total,Acute Myocardial Infarction,Not Admitted,402,374,6.23,0
2007-2008,2007,Non-urgent,3,Total,Acute Myocardial Infarction,Not Admitted,92,238,3.97,0
2007-2008,2007,Unknown,3,Total,Acute Myocardial Infarction,Not Admitted,0,497,8.28,0
2007-2008,2007,CTAS III - Urgent,3,Total,Any,Not Admitted,2066791,200,3.33,0
2007-2008,2007,Less urgent,3,Total,Any,Not Admitted,2203034,112,1.87,0
2007-2008,2007,Non-urgent,3,Total,Any,Not Admitted,568461,75,1.25,0
2007-2008,2007,Unknown,3,Total,Any,Not Admitted,3870,19,0.32,0
2007-2008,2007,CTAS III - Urgent,3,Total,Asthma,Not Admitted,30305,159,2.65,0
2007-2008,2007,Less urgent,3,Total,Asthma,Not Admitted,15486,105,1.75,0
2007-2008,2007,Non-urgent,3,Total,Asthma,Not Admitted,2809,72,1.2,0
2007-2008,2007,Unknown,3,Total,Asthma,Not Admitted,8,136,2.27,0
2007-2008,2007,CTAS III - Urgent,3,Total,Influenzal Pneumonia,Not Admitted,53,232,3.87,0
2007-2008,2007,Less urgent,3,Total,Influenzal Pneumonia,Not Admitted,31,155,2.58,0
2007-2008,2007,Non-urgent,3,Total,Influenzal Pneumonia,Not Admitted,0,112,1.87,0
2007-2008,2007,Unknown,3,Total,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Total,Motor Vehicle Collisions,Not Admitted,46093,157,2.62,0
2007-2008,2007,Less urgent,3,Total,Motor Vehicle Collisions,Not Admitted,47371,125,2.08,0
2007-2008,2007,Non-urgent,3,Total,Motor Vehicle Collisions,Not Admitted,5370,97,1.62,0
2007-2008,2007,Unknown,3,Total,Motor Vehicle Collisions,Not Admitted,8,10,0.17,0
2007-2008,2007,CTAS III - Urgent,3,Total,Pneumonia,Not Admitted,32075,259,4.32,0
2007-2008,2007,Less urgent,3,Total,Pneumonia,Not Admitted,15336,137,2.28,0
2007-2008,2007,Non-urgent,3,Total,Pneumonia,Not Admitted,2115,102,1.7,0
2007-2008,2007,Unknown,3,Total,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Total,Trauma,Not Admitted,387470,151,2.52,0
2007-2008,2007,Less urgent,3,Total,Trauma,Not Admitted,716641,116,1.93,0
2007-2008,2007,Non-urgent,3,Total,Trauma,Not Admitted,107663,90,1.5,0
2007-2008,2007,Unknown,3,Total,Trauma,Not Admitted,558,6,0.1,0
2007-2008,2007,CTAS III - Urgent,3,Total,Unintentional Falls,Not Admitted,145445,184,3.07,0
2007-2008,2007,Less urgent,3,Total,Unintentional Falls,Not Admitted,204065,130,2.17,0
2007-2008,2007,Non-urgent,3,Total,Unintentional Falls,Not Admitted,23294,100,1.67,0
2007-2008,2007,Unknown,3,Total,Unintentional Falls,Not Admitted,50,17,0.28,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,433,210,3.5,0
2007-2008,2007,Less urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,41,226,3.77,0
2007-2008,2007,Non-urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,7,267,4.45,0
2007-2008,2007,Unknown,3,Transferred,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Any,Not Admitted,26150,255,4.25,0
2007-2008,2007,Less urgent,3,Transferred,Any,Not Admitted,9045,213,3.55,0
2007-2008,2007,Non-urgent,3,Transferred,Any,Not Admitted,1596,150,2.5,0
2007-2008,2007,Unknown,3,Transferred,Any,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Asthma,Not Admitted,134,258,4.3,0
2007-2008,2007,Less urgent,3,Transferred,Asthma,Not Admitted,22,160,2.67,0
2007-2008,2007,Non-urgent,3,Transferred,Asthma,Not Admitted,0,134,2.23,0
2007-2008,2007,Unknown,3,Transferred,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,736,215,3.58,0
2007-2008,2007,Less urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,200,178,2.97,0
2007-2008,2007,Non-urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,27,180,3.0,0
2007-2008,2007,Unknown,3,Transferred,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Pneumonia,Not Admitted,435,258,4.3,0
2007-2008,2007,Less urgent,3,Transferred,Pneumonia,Not Admitted,78,270,4.5,0
2007-2008,2007,Non-urgent,3,Transferred,Pneumonia,Not Admitted,6,369,6.15,0
2007-2008,2007,Unknown,3,Transferred,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Trauma,Not Admitted,5014,220,3.67,0
2007-2008,2007,Less urgent,3,Transferred,Trauma,Not Admitted,2091,190,3.17,0
2007-2008,2007,Non-urgent,3,Transferred,Trauma,Not Admitted,347,138,2.3,0
2007-2008,2007,Unknown,3,Transferred,Trauma,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Transferred,Unintentional Falls,Not Admitted,2574,249,4.15,0
2007-2008,2007,Less urgent,3,Transferred,Unintentional Falls,Not Admitted,1030,222,3.7,0
2007-2008,2007,Non-urgent,3,Transferred,Unintentional Falls,Not Admitted,142,140,2.33,0
2007-2008,2007,Unknown,3,Transferred,Unintentional Falls,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Any,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2007-2008,2007,CTAS III - Urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2007-2008,2007,Less urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2007-2008,2007,Non-urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2007-2008,2007,Unknown,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Acute Myocardial Infarction,Admitted,552,115,1.92,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Any,Admitted,14334,180,3.0,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Asthma,Admitted,247,183,3.05,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Influenzal Pneumonia,Admitted,0,0,0.0,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Motor Vehicle Collisions,Admitted,1658,150,2.5,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Pneumonia,Admitted,446,222,3.7,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Trauma,Admitted,3283,151,2.52,1
2006-2007,2006,CTAS I - Resuscitation,1,Admitted,Unintentional Falls,Admitted,621,176,2.93,1
2006-2007,2006,CTAS I - Resuscitation,1,Death,Acute Myocardial Infarction,Not Admitted,535,23,0.38,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Any,Not Admitted,4926,25,0.42,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Asthma,Not Admitted,0,98,1.63,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Motor Vehicle Collisions,Not Admitted,202,26,0.43,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Pneumonia,Not Admitted,31,158,2.63,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Trauma,Not Admitted,484,31,0.52,0
2006-2007,2006,CTAS I - Resuscitation,1,Death,Unintentional Falls,Not Admitted,55,103,1.72,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Acute Myocardial Infarction,Not Admitted,17,146,2.43,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Any,Not Admitted,4825,254,4.23,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Asthma,Not Admitted,193,192,3.2,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Motor Vehicle Collisions,Not Admitted,373,284,4.73,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Pneumonia,Not Admitted,42,233,3.88,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Trauma,Not Admitted,1368,245,4.08,0
2006-2007,2006,CTAS I - Resuscitation,1,Discharged Home,Unintentional Falls,Not Admitted,248,234,3.9,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,6,58,0.97,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Any,Not Admitted,88,158,2.63,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,8,130,2.17,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Pneumonia,Not Admitted,0,293,4.88,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,25,138,2.3,0
2006-2007,2006,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,0,206,3.43,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Any,Not Admitted,116,186,3.1,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,7,172,2.87,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,6,202,3.37,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,28,178,2.97,0
2006-2007,2006,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,0,309,5.15,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Acute Myocardial Infarction,Not Admitted,1372,93,1.55,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Any,Not Admitted,26558,169,2.82,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Asthma,Not Admitted,469,187,3.12,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Motor Vehicle Collisions,Not Admitted,2588,155,2.58,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Pneumonia,Not Admitted,545,219,3.65,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Trauma,Not Admitted,5921,165,2.75,0
2006-2007,2006,CTAS I - Resuscitation,1,Total,Unintentional Falls,Not Admitted,1053,186,3.1,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,262,138,2.3,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Any,Not Admitted,2269,171,2.85,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,22,196,3.27,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,341,128,2.13,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,26,230,3.83,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,733,144,2.4,0
2006-2007,2006,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,129,176,2.93,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Any,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,6914,207,3.45,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Any,Admitted,178020,293,4.88,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Asthma,Admitted,3284,260,4.33,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,7,387,6.45,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,2867,227,3.78,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,8013,301,5.02,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Trauma,Admitted,11927,244,4.07,1
2006-2007,2006,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,5637,274,4.57,1
2006-2007,2006,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,114,150,2.5,0
2006-2007,2006,CTAS II - Emergent,2,Death,Any,Not Admitted,854,192,3.2,0
2006-2007,2006,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,7,108,1.8,0
2006-2007,2006,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,35,286,4.77,0
2006-2007,2006,CTAS II - Emergent,2,Death,Trauma,Not Admitted,33,192,3.2,0
2006-2007,2006,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,18,345,5.75,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,197,290,4.83,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Any,Not Admitted,384495,231,3.85,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,12117,175,2.92,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,8,318,5.3,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,12606,184,3.07,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,5026,236,3.93,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,59757,169,2.82,0
2006-2007,2006,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,16356,196,3.27,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,24,58,0.97,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Any,Not Admitted,2530,216,3.6,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,14,115,1.92,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,52,181,3.02,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,7,154,2.57,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,546,185,3.08,0
2006-2007,2006,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,124,190,3.17,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,19,268,4.47,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Any,Not Admitted,14415,166,2.77,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,124,163,2.72,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,161,158,2.63,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Pneumonia,Not Admitted,27,352,5.87,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Trauma,Not Admitted,1010,145,2.42,0
2006-2007,2006,CTAS II - Emergent,2,Not Seen Or Left,Unintentional Falls,Not Admitted,229,152,2.53,0
2006-2007,2006,CTAS II - Emergent,2,Total,Acute Myocardial Infarction,Not Admitted,8555,195,3.25,0
2006-2007,2006,CTAS II - Emergent,2,Total,Any,Not Admitted,596250,246,4.1,0
2006-2007,2006,CTAS II - Emergent,2,Total,Asthma,Not Admitted,15733,191,3.18,0
2006-2007,2006,CTAS II - Emergent,2,Total,Influenzal Pneumonia,Not Admitted,15,355,5.92,0
2006-2007,2006,CTAS II - Emergent,2,Total,Motor Vehicle Collisions,Not Admitted,16734,190,3.17,0
